"I have carefully read the information above, promise to fill out the questionnaire earnestly, and agree to participate.",Your Prolific ID:,Please choose which description more accurately reflects your understanding of each set of images below. - Figure 1,Please choose which description more accurately reflects your understanding of each set of images below. - Figure 2,Please choose which description more accurately reflects your understanding of each set of images below. - Figure 3,Please choose which description more accurately reflects your understanding of each set of images below. - Figure 4,Please choose which description more accurately reflects your understanding of each set of images below. - Figure 5,Please choose which description more accurately reflects your understanding of each set of images below. - Figure 6,"Please evaluate the accuracy of the key features (like edges, shapes or specific areas, etc.) shown in each set of images.  - Figure 1","Please evaluate the accuracy of the key features (like edges, shapes or specific areas, etc.) shown in each set of images.  - Figure 2","Please evaluate the accuracy of the key features (like edges, shapes or specific areas, etc.) shown in each set of images.  - Figure 3","Please evaluate the accuracy of the key features (like edges, shapes or specific areas, etc.) shown in each set of images.  - Figure 4","Please evaluate the accuracy of the key features (like edges, shapes or specific areas, etc.) shown in each set of images.  - Figure 5","Please evaluate the accuracy of the key features (like edges, shapes or specific areas, etc.) shown in each set of images.  - Figure 6","Please evaluate whether the explanation method shown in each set of images enhances your trust and understanding of the model's decisions? (-5 to -1 indicates degree of negativity, 1 to 5 indicates degree of positivity) - Figure 1","Please evaluate whether the explanation method shown in each set of images enhances your trust and understanding of the model's decisions? (-5 to -1 indicates degree of negativity, 1 to 5 indicates degree of positivity) - Figure 2","Please evaluate whether the explanation method shown in each set of images enhances your trust and understanding of the model's decisions? (-5 to -1 indicates degree of negativity, 1 to 5 indicates degree of positivity) - Figure 3","Please evaluate whether the explanation method shown in each set of images enhances your trust and understanding of the model's decisions? (-5 to -1 indicates degree of negativity, 1 to 5 indicates degree of positivity) - Figure 4","Please evaluate whether the explanation method shown in each set of images enhances your trust and understanding of the model's decisions? (-5 to -1 indicates degree of negativity, 1 to 5 indicates degree of positivity) - Figure 5","Please evaluate whether the explanation method shown in each set of images enhances your trust and understanding of the model's decisions? (-5 to -1 indicates degree of negativity, 1 to 5 indicates degree of positivity) - Figure 6","Do you think the common semantic space shown by each set of images below is pure? (Pure: means without mixing in unrelated features, e.g., in the eye feature space, there are no mixtures of ears, noses, or legs.) - Figure 1","Do you think the common semantic space shown by each set of images below is pure? (Pure: means without mixing in unrelated features, e.g., in the eye feature space, there are no mixtures of ears, noses, or legs.) - Figure 2",How much do you know about the AI ?,Your suggestion for this questionnaire:,填答時間,填答秒數,IP紀錄,額滿結束註記,使用者紀錄,會員時間,Hash,會員編號,自訂ID,備註
"Yes, I promise.",653e75d85d02e5800a417c12,0,0,0,0,1,1,1,1,1,4,6,7,-5,-5,-5,-5,-1,1,2,2,Moderate knowledge,none,2024-02-23 20:51:22,122,2a00:23c6:3203:2701:c943:8644:d32:6567,,,,af001150d9babfb78f33a67f55465a75,',,
"Yes, I promise.",60907b8091341e8724ba80ed,1,0,1,1,1,1,5,7,1,9,8,10,2,3,-4,4,4,4,1,2,Strong knowledge,It was interesting,2024-02-23 20:56:27,176,2a02:214c:882d:1900:e83b:4c24:e72b:3a06,,,,4d462612acbb47b5003a61725e464930,',,
"Yes, I promise.",61087c49c4841503f7e8c0ef,1,0,1,0,0,1,3,8,5,5,6,6,-5,2,-3,-3,4,4,1,1,Moderate knowledge,,2024-02-23 21:00:56,135,159.2.183.241,,,,2980c6af05ffe71874684a337e92c959,',,
"Yes, I promise.",612cb136d73c7ef5f505e5a6,0,0,0,1,1,1,1,3,5,8,8,8,-2,1,1,2,3,3,0,1,Weak knowledge,none,2024-02-23 21:03:41,543,197.101.202.163,,,,c2f067a0319a0070bfbb65fa7ab83967,',,
"Yes, I promise.",611e20464a435b1b494f042d,0,0,0,0,0,1,9,9,9,9,7,7,-3,-3,-3,-3,1,1,1,1,Strong knowledge,i have no suggestions.,2024-02-23 21:03:54,634,41.1.69.162,,,,8cb104f2c73371427de99a19308e482a,',,
"Yes, I promise.",6349561a894e0d5174e3db4a,1,0,0,0,0,0,2,9,6,8,8,9,-2,4,2,3,5,5,0,0,Weak knowledge,,2024-02-23 21:06:25,392,82.29.255.18,,,,af8e3e26b4946a33491ccb977c010da5,',,
"Yes, I promise.",5ea191520350aa0486aefe42,1,0,0,1,1,1,1,9,4,6,5,2,-3,3,3,2,4,4,1,2,Moderate knowledge,,2024-02-23 21:06:28,385,2a02:c7c:503a:5200:5a0f:130a:2664:f188,,,,c4a8fa33eb5965a735184aaabe788c05,',,
"Yes, I promise.",5c3215d053484d000182eaa3,1,0,0,1,1,1,2,9,8,8,2,2,1,4,3,3,2,2,0,0,Moderate knowledge,,2024-02-23 21:07:46,277,84.29.6.111,,,,5554756a4c51a2660403b6fe8d2255ba,',,
"Yes, I promise.",5eb399a140be6e18063981c3,0,1,0,0,1,1,1,6,4,7,5,7,-2,2,1,3,1,2,2,1,Moderate knowledge,,2024-02-23 21:07:56,141,191.112.22.141,,,,7a0b80992c2ffb803b48be759601ef40,',,
"Yes, I promise.",6112750106250f3a55d1e28d,0,1,1,1,0,1,4,9,8,10,8,10,-1,5,4,5,-1,4,1,2,Strong knowledge,None so far,2024-02-23 21:08:30,348,197.101.25.87,,,,2ae0b58e5e20b794c5eb6b70218b3923,',,
"Yes, I promise.",60f9b64aa48e0aa3697f3557,1,0,1,1,1,0,1,4,2,3,1,1,-5,-2,-4,-2,-5,-5,0,1,Moderate knowledge,None,2024-02-23 21:08:59,195,41.121.110.18,,,,77decdf0460480506cb6d348b4f6390f,',,
"Yes, I promise.",60f87b1eeff5cfe7545c60bc,0,1,0,0,0,1,3,8,5,6,4,7,-3,2,1,3,-2,2,0,1,Strong knowledge,,2024-02-23 21:09:13,322,89.241.108.211,,,,d6339ac302dc19c27d11460f46a51e5f,',,
"Yes, I promise.",63f8b081b083f1e1014cb21a,1,0,0,1,1,1,4,6,7,4,6,4,-2,2,-2,-1,2,1,1,2,Moderate knowledge,None,2024-02-23 21:10:32,114,2a00:23c8:10c:e801:4515:6404:63a3:1376,,,,03cf8c2676b7d2878c8051514d8c1e19,',,
"Yes, I promise.",6319ff03df1e7848122f18b1,1,0,1,0,1,1,1,5,3,7,8,8,-5,2,-1,4,1,1,1,2,Moderate knowledge,,2024-02-23 21:10:56,189,92.21.134.210,,,,bf62bd014a99dba313fd5bb7dd435dc8,',,
"Yes, I promise.",5b2b03070ec82d0001d28898,0,1,0,1,0,1,2,6,5,7,4,3,-1,4,2,3,1,-2,1,0,Moderate knowledge,,2024-02-23 21:11:38,677,190.20.241.29,,,,b0634b04bbc84e35384610043a8b6ec2,',,
"Yes, I promise.",63e6132468f99695fc58b132,0,1,0,1,0,0,2,6,5,7,7,8,1,1,2,3,2,3,1,1,Moderate knowledge,,2024-02-23 21:12:15,793,86.12.176.136,,,,80da5cfd9acd5955abde35bb6ccfb269,',,
"Yes, I promise.",6168dd07067bdc158d3edfd46168dd07067bdc158d3edfd4,1,0,0,1,1,1,3,7,6,8,9,10,2,5,2,5,5,4,0,1,Strong knowledge,none,2024-02-23 21:12:29,716,154.117.131.230,,,,3bfd43c1c28f6795b1c9435ba6852f0c,',,
"Yes, I promise.",5e8cd2f37a67c0086c00688c,0,0,0,0,0,1,3,9,8,9,6,6,-1,1,1,1,2,2,0,1,Moderate knowledge,,2024-02-23 21:14:19,346,86.81.239.122,,,,b3329832be9345e3a38106d724fffd49,',,
"Yes, I promise.",64622d2c6d50562c9b68e0c1,1,0,0,0,0,1,2,9,7,8,4,7,-3,3,2,4,2,3,0,1,Weak knowledge,,2024-02-23 21:14:22,203,130.62.64.83,,,,f6df8e793977bd4a5c55c1e878281805,',,
"Yes, I promise.",598b5aad3085380001163e51,1,0,0,1,0,0,3,7,6,6,7,8,1,3,2,1,3,4,1,2,Moderate knowledge,N/A,2024-02-23 21:15:22,184,82.44.224.184,,,,efc29a1e8e60b66b0b5ddd94924bd23d,',,
"Yes, I promise.",5f608843ec3a2402c4a1fb1f,0,0,0,0,0,1,2,7,6,7,8,9,-3,0,0,1,3,4,1,3,Moderate knowledge,,2024-02-19 21:38:02,202,130.192.98.148,,,,a13e6000a94e0e6afd65928a1a0426f2,,,
"Yes, I promise.",5ed7a7a467a98224295459ff,0,1,0,0,1,1,0,7,4,5,8,9,-5,1,-4,-3,0,0,1,2,Moderate knowledge,,2024-02-19 21:42:10,222,109.51.107.25,,,,5eae3025f286177d7d6eba0807e8366c,,,
"Yes, I promise.",65200df074f7b4deaf7ff9fe,0,0,0,1,1,1,3,5,1,9,7,8,-2,1,-3,4,2,2,2,3,Strong knowledge,,2024-02-19 21:46:11,419,89.64.53.15,,,,a1d07d80e8d8047312a84aacd5c5205b,,,
"Yes, I promise.",6413af498a9e9ed2353b6e05,1,1,1,0,1,1,4,5,4,6,3,6,-2,-2,-1,0,-3,1,1,2,Moderate knowledge,,2024-02-23 17:15:11,251,2001:8004:4690:4386:c369:1295:2bbd:97e1,,,,cf8bea2932495ae019e28b7d83fc3cea,,,
"Yes, I promise.",5b3355c9975e260001e986bd,0,0,0,0,1,0,1,7,2,3,2,2,-5,2,-3,-3,-1,2,3,2,Weak knowledge,,2024-02-23 17:16:24,406,152.105.62.183,,,,38d8d9ddeb90bf65100cc0f05bca6b69,,,
"Yes, I promise.",6382fb718ed7d5c007f7e0a8,1,0,1,1,0,0,3,7,5,6,7,6,-3,2,0,1,2,1,1,1,Moderate knowledge,,2024-02-23 17:17:28,85,107.191.233.243,,,,b4422fa71139e808d08efef1fe974c06,,,
"Yes, I promise.",5f31233084da6004d4e59bc0,1,0,0,0,0,1,3,7,4,5,6,7,-4,2,-2,-1,-1,1,1,2,Moderate knowledge,,2024-02-23 17:26:13,89,2a01:4b00:e614:4500:7d46:969e:188c:f43c,,,,73a7dc1055eb820b439240bf27716fb2,,,
"Yes, I promise.",5e43f3ab6c137d000b704bd2,0,0,0,0,1,1,2,7,4,3,2,5,-5,-5,-5,-5,-5,-5,1,2,Strong knowledge,,2024-02-23 17:42:32,232,2001:8003:a8e9:8d00:edee:b2b:cac5:6c2,,,,d7c18a10547be7526a7f1f553db414d4,,,
"Yes, I promise.",5a98bf4cb5e2110001c6b931,0,1,1,0,0,0,2,3,3,4,1,5,-2,-3,-1,-1,-3,-1,0,2,Moderate knowledge,,2024-02-23 17:52:45,734,2a00:23c8:ab8d:3a00:8171:38dd:def:8186,,,,d9ea8db961d4c9e1a6ad01af109b374b,,,
"Yes, I promise.",5f689679cc2af84fa2c57263,0,1,0,0,1,0,1,3,3,4,2,3,-5,-3,-3,-1,-4,-3,1,1,Moderate knowledge,none,2024-02-23 18:17:24,265,185.69.145.146,,,,d35d65c740c6f503c23b41257b1621c4,,,
"Yes, I promise.",58cc4c53efb64f0001359761,1,0,1,1,1,1,1,8,5,6,2,8,-5,4,-3,-1,-4,3,0,2,Moderate knowledge,,2024-02-23 18:34:59,251,212.132.160.174,,,,92f9d31f6d66cc13a1769f9fb388f3d8,,,
"Yes, I promise.",N/A,0,0,0,1,1,0,2,4,6,6,7,6,-4,0,1,1,1,1,2,1,Moderate knowledge,,2024-02-23 18:35:47,517,101.115.231.180,,,,701c4a54808aaffdff0e4c6935f1791d,,,
"Yes, I promise.",5aeb5c9f0f8859000190a19b,0,0,0,0,1,1,1,5,3,6,3,2,-5,2,-2,3,-4,-4,0,1,Moderate knowledge,,2024-02-23 19:13:12,316,82.132.215.180,,,,e8f262daab91f85cc60bda66b8b4cd75,,,
"Yes, I promise.",5e33295b0d4362300d5e7e70,0,1,0,1,1,0,3,4,2,5,3,4,-3,-2,-4,0,-3,-2,1,3,Weak knowledge,,2024-02-23 20:07:06,336,195.195.140.13,,,,d5969891213eba978ea4cacf157e16f9,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
